obj_id,score,class
0,-0.13366798216147874,CaRT
1,-0.13703186217573127,CaRT
2,-0.14503915145518798,CaRT
3,-0.06859378774231195,CaRT
4,-0.12801921471491556,CaRT
5,-0.1347141414228578,CaRT
6,-0.15631157613155477,CaRT
7,-0.13902721040685928,CaRT
8,-0.14802474065561405,CaRT
9,-0.10344133647136011,CaRT
10,-0.1231284410728265,CaRT
11,-0.14445161588144778,CaRT
12,-0.1308560424591425,CaRT
13,-0.13740693692057515,CaRT
14,-0.11861772532637888,CaRT
15,-0.15404791925351496,CaRT
16,-0.154047469868912,CaRT
17,-0.15798806914305863,CaRT
18,-0.10981081853144459,CaRT
19,-0.10983401223620387,CaRT
20,-0.1420925934287322,CaRT
21,-0.15317327954618237,CaRT
22,-0.1521359985519138,CaRT
23,-0.15787722751702532,CaRT
24,-0.11553454867799806,CaRT
25,-0.10547116434156861,CaRT
26,-0.13292350332194153,CaRT
27,-0.13924078159094866,CaRT
28,-0.14430332808269047,CaRT
29,-0.13726560845054747,CaRT
30,-0.13332930635440715,CaRT
31,-0.16281631764094295,CaRT
32,-0.12965543665748275,CaRT
33,-0.15224007851330235,CaRT
34,-0.11519259679139077,CaRT
35,-0.13224309154744995,CaRT
36,-0.13215124616047508,CaRT
37,-0.1489656263228003,CaRT
38,-0.14435253862244535,CaRT
39,-0.1535260001026703,CaRT
40,-0.11834944048803336,CaRT
41,-0.15011400381796364,CaRT
42,-0.07203121353699066,CaRT
43,-0.14809573714247892,CaRT
44,-0.14952017574694576,CaRT
45,-0.11815931651719247,CaRT
46,-0.10628434826488092,CaRT
47,-0.1462659995288133,CaRT
48,-0.1406550932068128,CaRT
49,-0.12178189967369585,CaRT
50,-0.10585614596184523,CaRT
51,-0.15811732504372766,CaRT
52,-0.15529238829731917,CaRT
53,-0.14595775825250323,CaRT
54,-0.1142410007951446,CaRT
55,-0.11878261614224328,CaRT
56,-0.11479502325889918,CaRT
57,-0.16053009533055884,CaRT
58,-0.14515927886554453,CaRT
59,-0.12195814411597605,CaRT
60,-0.1585913517073712,CaRT
61,-0.1436042769220069,CaRT
62,-0.1509082193250878,CaRT
63,-0.14609705000135237,CaRT
64,-0.13285893050570918,CaRT
65,-0.1427707305939006,CaRT
66,-0.1514005155975261,CaRT
67,-0.14087080300646454,CaRT
68,-0.14768909819217485,CaRT
69,-0.11617327291422341,CaRT
70,-0.15488406103318314,CaRT
71,-0.1611974242631224,CaRT
72,-0.13805850598007563,CaRT
73,-0.10987599131173037,CaRT
74,-0.11501905591854633,CaRT
75,-0.12128603235797675,CaRT
76,-0.12783715246607708,CaRT
77,-0.1588133294365522,CaRT
78,-0.08493369294531244,CaRT
79,-0.11777227463449413,CaRT
80,-0.054507493309465194,CaRT
81,-0.10586425877759881,CaRT
82,-0.15578460923975662,CaRT
83,-0.1540980630012211,CaRT
84,-0.13324734026935414,CaRT
85,-0.15461425522121153,CaRT
86,-0.14006787570807777,CaRT
87,-0.14999374384475422,CaRT
88,-0.08506090222161,CaRT
89,-0.15413179586883569,CaRT
90,-0.14788762384257154,CaRT
91,-0.09607161187942903,CaRT
92,-0.10812637299303063,CaRT
93,-0.15270689903918283,CaRT
94,-0.1251787303517981,CaRT
95,-0.14668033648093032,CaRT
96,-0.06341186223934353,CaRT
97,-0.15238022872141604,CaRT
98,-0.09869017591508161,CaRT
99,-0.15735484801552835,CaRT
100,-0.13851299717958476,CaRT
101,-0.15382160656614763,CaRT
102,-0.15671376389214742,CaRT
103,-0.06468793538253675,CaRT
104,-0.1350798340915011,CaRT
105,-0.157194662311883,CaRT
106,-0.16243345224750644,CaRT
107,-0.08965123246260892,CaRT
