obj_id,score,class
0,0.047906659487911174,SNIa
1,-0.08761409439534534,SNIax
2,-0.08999973113035581,SNIb
3,-0.14334037572007463,SNII
4,-0.11675208555427441,SNIa-91bg
5,-0.11268738748258811,AGN
6,-0.09507513668609663,SNIc-BL
7,-0.10942317688133313,SNIIb
8,-0.08312320935292533,SNIax
9,-0.11222650039404342,SNIax
10,-0.08685677305491207,SNIb
11,-0.02922475538141034,SNIa
12,-0.10508866574835674,SNIc-BL
13,-0.024405646066423092,SNIb
14,-0.07022260370122585,SNIc
15,-0.07861584067086658,SNIax
16,-0.09038242760083676,SNIb
17,-0.12463630259091019,SNIIn
18,-0.03188175302983037,SNIb
19,-0.057490135085875804,SNIc
20,-0.08178106564536713,SNIax
21,-0.07786034021459964,SNIa-91bg
22,-0.10360457938776452,SNIc
23,-0.08843595178000568,SNIb
24,-0.10693177537121173,SNIa-91bg
25,-0.09863933673146474,SNIb
26,-0.08724674818444106,SNIc-BL
27,-0.07789986160790535,SNIa-91bg
28,-0.07472661174394185,SNIc-BL
29,-0.09614113140923297,SLSN-I
30,-0.11957806886019462,SNIc
31,-0.09947735164091914,SNIa
32,-0.1342533365102928,SNIc-BL
33,-0.128511297034608,SNIc-BL
34,-0.13430161339586444,SNII
35,-0.014587768456177819,TDE
36,-0.06897248615173213,SNIa-91bg
37,-0.11075561972097525,TDE
38,-0.10980831831370663,SNIc
39,-0.13867241258865287,SNII
40,-0.11455798762789399,SNIc
41,-0.09193742285893208,SNIIn
42,-0.13011275075010903,SNII
43,-0.15772323279327605,SNII
44,-0.09291849266446828,SNIIb
45,-0.09550674743662885,SNIc
46,-0.09281884908482763,SNIax
47,-0.07964696943521488,SNIax
48,-0.12328604687249423,AGN
49,-0.10895156153774327,SNIa-91bg
50,-0.08399152611236377,SNIax
51,-0.0790361795165826,SNIa-91bg
52,-0.09717381112483042,SNIc
53,-0.11871541899929605,AGN
54,-0.09804783479078516,SNIIn
55,-0.1045204270751453,SNIax
56,-0.08679187925851439,SNIa-91bg
57,-0.15866123691984196,SNII
58,-0.12252335192763586,SNIa-91bg
59,-0.08149751971282848,SNIax
60,-0.12231656443986522,SNIIn
61,-0.11662503757941034,SNIc-BL
62,-0.11935378756715592,AGN
63,-0.017276118069881052,SNIc
64,-0.09143571486575375,SNIax
65,-0.08816949770355736,SNIa
66,-0.14988106253625816,SLSN-I
67,-0.1557597949915981,SNII
68,-0.1034520374634984,SNIax
69,-0.022825088936418214,SNIa-91bg
70,-0.15403002981007663,SNII
71,-0.10130842534831402,SNIa-91bg
72,-0.054698962169439314,SNIc-BL
73,-0.01836604106699291,SNIa
74,-0.1416758455940772,AGN
75,-0.08005368537270685,SLSN-I
76,-0.06609668131437818,SNIc
77,-0.1451209038361469,SNIIn
78,-0.0787389261659765,SNIIn
79,-0.09270304381202776,SNIa
80,-0.08582055343120204,SNIb
81,-0.13512291018501088,SNIIn
82,-0.13662264321228829,AGN
83,-0.14589095179127942,SNIIn
84,-0.11606112885790248,SNIIb
85,-0.057514546436777,SNIb
86,-0.11123949359838448,SNIa-91bg
87,-0.09467573710881222,SNIc-BL
88,-0.10636211679958807,SNIIb
89,-0.06410043932415749,SNIIn
90,0.015401640597236699,SNIb
91,-0.1410435479041265,AGN
92,-0.10627482441480895,SNII
93,-0.1146033958839659,SLSN-I
94,-0.07632882231588511,SNIc
95,-0.06459213480420595,SNIa-91bg
96,-0.0839432213276442,SNIIn
97,-0.09293416909340957,SNIc-BL
98,-0.09903671195430341,SNIa-91bg
99,-0.0905747891952382,SNIb
100,-0.12576798544111517,SNIc-BL
101,-0.09579777212175244,SNIax
102,-0.09630174154137877,SNIa-91bg
103,-0.08712170479239134,SNIIn
104,-0.12697677915412603,SNIb
105,-0.017337730347592673,SNIa
106,-0.07528895960817494,SNIa
107,-0.11256262989725396,AGN
108,-0.11849995737174751,SNIc
109,-0.04064957554072218,SNIc
110,-0.11574649593132558,SNIax
111,0.05252628731066711,SNIax
112,-0.10908865563882231,SNIax
113,-0.08187447547546978,SNIIb
114,-0.10203888642350956,SNIa-91bg
115,-0.11819096186185002,SNIc-BL
116,-0.09559640513638257,SNIax
117,-0.07335597171614816,SNIc-BL
118,-0.0871076110102183,SNIax
119,-0.0902483840601867,SNIc
120,-0.08620544490642834,SNIa-91bg
121,-0.04841758123693274,SNIc-BL
122,-0.08290519590377754,SNIc
123,-0.11830573989685012,SNII
124,-0.04783280056277195,SNIb
125,-0.0336660617506952,SNIc-BL
126,-0.11615410687603078,SNIc
127,-0.07426994923514252,SNIb
128,-0.103626861920388,SNIIb
129,-0.10594743017713815,SNIax
130,-0.059601109713801614,SNIb
131,-0.036652697784828825,SNIc
132,-0.07674589604847393,SNIc-BL
133,-0.08780248811361374,SNIc
134,-0.08995284514480961,SNIa
135,-0.10522034972634198,SNIb
136,-0.07351355240729701,SNIIb
137,-0.13731886650099645,AGN
138,-0.08050393096095387,SNIIb
139,-0.11273819440200389,SNIc-BL
140,-0.01434230370743489,SNIb
141,-0.10474688447742608,SNII
142,-0.03951643766724389,SNIa-91bg
143,-0.06325756930377374,SNIIn
144,-0.13978876067083978,SNII
145,-0.07303721419634035,SNIc
146,-0.13645431620206638,SNII
147,-0.11150925228848874,SNIc-BL
148,-0.08650057181574711,SNII
149,-0.105957563880484,SNIIb
150,-0.10112710363484828,SNIax
151,-0.06831620659343307,SNIc-BL
152,-0.15776236680577027,SNII
153,-0.14080105184442826,AGN
154,-0.04036676955613561,SNIa-91bg
155,-0.11509362790582972,AGN
156,-0.06535156067040976,SNIa
157,-0.1287146602316846,SNIa-91bg
158,-0.10750544766115588,SNIIn
159,-0.0224122154648288,SNIc
160,-0.11728595257785562,SNIb
161,-0.09727352261001848,SNIax
162,-0.03994558373085283,SNIb
163,-0.06175114525780856,SNII
164,-0.12166152469812958,SNIa-91bg
165,-0.11658465163503107,SNIc-BL
166,-0.09590423606108323,SNIc-BL
167,-0.14294571930415556,SNIIn
168,0.014822550180145555,AGN
169,-0.10538549485110094,SNIax
170,-0.10922471182436144,SNIIn
171,-0.11877944163445825,SNII
172,-0.15280551066455184,SNII
173,-0.15731302574177863,SNII
174,-0.12281160737885499,SNIa-91bg
175,0.017178625608542886,SNIa
176,-0.09124773305298295,SNIc
177,-0.1111748076680581,AGN
178,-0.06282881365483772,SNIax
179,-0.11481223720639178,SNIax
180,-0.11233352224891446,SNIax
181,-0.09982416343545547,SNIc
182,-0.09979552213584914,SNIIn
183,-0.129377343532116,SNIIb
184,-0.10706008959648822,SNIb
185,-0.13343784330486214,SNIIn
186,-0.11813921490461493,SNIc
187,-0.08656189246820523,SNIb
188,-0.12416862875445489,SNIax
189,-0.06878810803500857,SNIc
190,-0.09959233255860578,SNIIn
191,-0.11433151040329503,SNIax
192,-0.1295246718975958,SNIIn
193,-0.10074182009817229,SNIc-BL
194,-0.048841047817040906,SNIa
195,-0.03917059287346081,SNIIn
196,-0.1331055826913029,SNIa-91bg
197,-0.10582791186275586,SNIIn
198,-0.15035230944270445,SNII
199,-0.08002468233368454,AGN
200,-0.14593582544068706,SNIIn
201,-0.06621374047187006,SNIIn
202,-0.1289953996970764,SNII
203,-0.02735010286467915,AGN
204,-0.08758490551722997,SNIIb
205,-0.08102870582851085,SNIc
206,-0.07111643810138296,SNIa
207,-0.07973202788143635,SNIIn
208,-0.04542910617271173,SNIa-91bg
209,-0.0629273882297468,SNIIb
210,-0.04543456787783878,SNIax
211,-0.036453623423817694,SNIa
212,-0.09812709181995344,SNII
213,-0.132933578515118,SNIc-BL
214,-0.0936418058189139,SNIb
215,-0.13375890979085286,SNIax
216,-0.05273911117578406,SNIa
217,-0.12171930319380636,SNIa-91bg
218,-0.14782006921267077,SNIc-BL
219,-0.05878696980278941,SNIa
220,-0.11633969034059122,SNII
221,-0.07431001134931481,SNIIn
222,-0.06743403877730791,SNIax
223,-0.11026371740877888,SNIIn
224,-0.06235462366042921,SNIb
225,-0.07484230936775238,SNIa-91bg
226,-0.11324634428849462,SNIa-91bg
227,-0.11695763199772169,SNII
228,-0.1108540027420779,SNIa
229,-0.1398247429563575,SNIIb
230,-0.12586869105396586,SNIc-BL
231,-0.1179925983866052,SNIax
232,-0.07446152824842933,SNIa
233,-0.053349834327753365,SNIc
234,-0.040897974508181945,SNIa
235,-0.02570221942669093,SNIb
236,-0.06943247966505478,SNIIb
237,-0.013985433125103197,SNIax
238,-0.1194939172286199,SNIc
239,-0.07640557233978013,SNIax
240,-0.1386418220302179,SNIc
241,-0.11057243103343062,SNIa-91bg
242,-0.09539446988655642,SNIc
243,0.05244520738273184,SNIc
244,-0.15024093979234932,SNII
245,-0.10422396898990888,SNIax
246,-0.0902451911063496,SNIc-BL
247,-0.11603816615643908,SNIIn
248,-0.07825092729378341,SNIb
249,-0.11438650018342439,SNIc-BL
250,-0.06588030558970909,SNIc-BL
251,-0.07887510267128922,SNIb
252,-0.14141876903185724,SNIc-BL
253,-0.12226669181802363,AGN
254,-0.09909868381799491,SNIb
255,-0.03837333935376658,SNIa
256,-0.09719215096750566,SNIIb
257,-0.12358615147958502,SNII
258,-0.12734972395886202,SNIax
259,-0.1543889879322331,SNIIn
260,-0.11719305259499818,SNIa-91bg
261,-0.12062819157888971,SNIb
262,-0.11141541262742222,SNIc-BL
263,-0.07661375995006975,SNIc-BL
264,-0.07314846792805535,SNIa
265,-0.08637559684568696,SNIa
266,-0.11088646183230588,SNIIn
267,-0.12394728996383186,SNIc
268,-0.11659340035866433,SNIIn
269,-0.0600108212903967,SNIIn
270,-0.1196572695797839,SNIa-91bg
271,-0.007965059182756251,SNIa
272,-0.11935000012667102,SNIIn
273,-0.0918886306473547,AGN
274,-0.16076570105934557,SNII
275,-0.11287717331134495,SNIIn
276,-0.07471345795671736,SNIc
277,-0.07764674590112342,SNIc-BL
278,-0.03590395122678891,AGN
279,-0.023002129131777904,SNIc
280,-0.08417854932096647,SNIIn
281,-0.10736928696604675,SNIax
282,-0.09402086397047438,SNIIn
283,-0.040238292606407156,SNIIb
284,-0.11485755875631964,SNIax
285,-0.05733195975242478,SNIb
286,-0.0862636835199066,SNIc
287,-0.08111872430946931,AGN
288,-0.12037525472244476,SNIc-BL
289,-0.10513971607758393,SNIax
290,-0.12271337859882364,SNIax
291,-0.13176527511915598,SNIc-BL
292,-0.11642607353774825,AGN
293,-0.05459304626516881,SNIIn
294,0.037583467483812694,SNIb
295,-0.09801365128448858,SNIb
296,-0.1049397105760908,SNIc
297,-0.04993375351586443,SNIIn
298,-0.0887286639642712,SNIa
299,-0.14999828682050853,SNIIn
300,-0.10859915409584092,SNIa-91bg
301,-0.05780856433944409,SNIIn
302,-0.07801495625975952,SNIc
303,-0.053128385582192794,SNIc
304,-0.13840763154275387,SNIax
305,-0.14153666551399485,SNIIn
306,-0.01525667057025143,SNIax
307,-0.06450305208306223,SNIax
308,0.00022838421455395608,SNIc
309,-0.11005183793422141,SNIa-91bg
310,-0.02400536953101634,SNIc
311,-0.08141769790092568,SNIa
312,-0.13557731109439147,AGN
313,-0.062396119383662296,AGN
314,-0.06840671881751942,AGN
315,-0.0677314134927805,SNIax
316,-0.11495989972738418,SNIax
317,-0.14679572219579234,SNIIn
318,-0.04621446089254594,AGN
319,-0.10667656101163159,SNIc
320,-0.04373658317364926,SNIa
321,-0.0845741833605414,SNIa-91bg
322,-0.08996462622275336,SNIa
323,-0.1173550675057809,SNIax
324,-0.07336384138161195,SNIa
325,-0.05802063089122739,SNIa
326,-0.026725149923771285,SNII
327,-0.08185740193632907,SNIc
328,-0.12527627418391607,SNII
329,-0.024755959778093806,SNIb
330,-0.1074527228842646,SNIc-BL
331,-0.09414372826569489,SNIax
332,-0.10980473322367862,SNIb
333,-0.06645752182911024,SNII
334,-0.1465956814584113,SNIc-BL
335,-0.0987050824243712,SNIa
336,-0.15189345775544966,SNII
337,-0.10427248247785781,SNIIb
338,-0.028332858308870335,SNIb
339,-0.08829065629539462,SNIa
340,-0.08642074795774313,SNIa-91bg
341,-0.09695251595567383,AGN
342,0.034175099082107585,SNIax
343,-0.1134329119261126,SNIc
344,-0.1476967055486415,AGN
345,-0.1257342857923972,SNIc-BL
346,-0.10348529038192278,SNIa-91bg
347,-0.10574654887371276,SNIa-91bg
348,-0.11432612176518553,SNIIb
349,-0.1260637479577162,SNIa-91bg
350,-0.11644567165659286,SNIc
351,-0.11760496866680237,SNIIn
352,-0.1351046682644102,SNIax
353,-0.07381432941224975,SNIax
354,-0.10678108069377557,SNIc-BL
355,-0.124348749194436,SNIIn
356,-0.10990955106655842,SNII
357,-0.05832976789679406,SNIa-91bg
358,-0.13834946745749271,SNIIn
359,-0.02683430179290419,SNIax
360,-0.07096685910122558,SNIc
361,-0.03412911311922778,SNIax
362,-0.1398348331900071,SNII
363,-0.14185723640470532,SNIc-BL
364,-0.08357684849280816,SNIa-91bg
365,-0.0021963610684983537,AGN
366,-0.13672074712871912,AGN
367,-0.10693870443611841,SNIa-91bg
368,-0.09934355232395914,SNIIn
369,-0.07810967777099348,SNIax
370,-0.11271142829882858,SNIa-91bg
371,-0.1281941034544843,SNIax
372,-0.05832486657134145,AGN
373,-0.14438455505405823,SNIc-BL
374,-0.09231108369350627,SNIa-91bg
375,-0.044418539725900874,SNIa-91bg
376,-0.1076391858935426,SNIa-91bg
377,-0.0742457884009251,SNIb
378,-0.06305241027380398,SNII
379,-0.1222651353738321,SNII
380,-0.09791744563176069,SNIax
381,-0.10616361926290141,SNIIn
382,-0.078208609495997,SNII
383,-0.05763711989241194,SNIb
384,-0.061698584035682125,SNIax
385,-0.145984477394483,SNIIn
386,-0.12523418847760043,AGN
387,-0.07435710925745004,SNIc
388,-0.07038208537605445,SNIIn
389,-0.1475016868930472,SNII
390,-0.0771365726981485,SNII
391,-0.10055266708862315,SNIc
392,-0.12566805876167098,SNIc
393,-0.1531119447512832,SNII
394,-0.15178454053853357,SNII
395,-0.09354703998058927,SNIax
396,-0.08675762699259204,SNIa-91bg
397,-0.08199030983920097,SNII
398,-0.1453468145798305,AGN
399,-0.04591930279573658,SNIc
400,-0.04265894985424695,SNIax
401,-0.07475483015586665,SNIa-91bg
402,0.03164532037760315,SNIax
403,-0.15747934507397698,SNII
404,-0.10233648735124873,SNIa
405,-0.1342239475296258,AGN
406,-0.12424192212350871,SNIc
407,-0.048829423082283996,SNIa
408,-0.0917375490514552,AGN
409,-0.09840042044875447,SNIb
410,-0.1227425976401817,SLSN-I
411,-0.036518320970300666,SNIa-91bg
412,-0.12454620739996414,SNIa-91bg
413,-0.07564103527113364,SNIa-91bg
414,-0.0498841315380551,SNIb
415,-0.11694785891598808,SNIc
416,-0.14366734953892518,AGN
417,-0.09582087438815973,SNIc-BL
418,-0.1099038107084846,SNII
419,-0.14858150729067787,SNIIn
420,-0.15116230554225396,SNII
421,-0.1096236814484256,SNIIn
422,-0.10662760801573917,SNIc-BL
