obj_id,score,class
0,0.005407800555952913,0
1,-0.06746065109942584,2
2,-0.11676654961201094,3
3,-0.13966104286692782,6
4,-0.1283136126295379,1
5,-0.09394560587380857,11
6,-0.1379346570797989,5
7,-0.12115969542216293,8
8,-0.13001923836860757,2
9,-0.14122572785649962,2
10,-0.10065428352305567,3
11,-0.12319414199618733,0
12,-0.1276292360242443,5
13,-0.1382451974100819,3
14,0.02384977201571692,4
15,-0.1392028409735338,2
16,-0.12322671099786803,3
17,-0.14359059632464494,7
18,-0.1354085037777839,3
19,-0.12730664880127135,4
20,-0.12317526672062917,2
21,-0.10939268792709611,1
22,-0.14538309284955742,4
23,-0.14375057335592012,3
24,-0.11705302859011596,1
25,-0.02881348293478997,3
26,-0.12211184301841754,5
27,-0.09251817509390697,1
28,-0.1342795330171273,5
29,-0.10103082444779027,10
30,-0.09980827530948694,4
31,-0.10767159461157771,0
32,-0.13543470139901348,5
33,-0.13304592965107176,5
34,-0.07329449700703777,6
35,-0.04685459894151012,9
36,-0.04108731958439543,1
37,-0.08374794164156663,9
38,-0.09570995816868283,4
39,-0.1555499445202076,6
40,-0.09877549348482573,4
41,-0.1445624477220438,7
42,-0.15252204231494693,6
43,-0.1267410173481724,6
44,-0.08338237251363956,8
45,-0.13510750796910515,4
46,-0.12866274691217439,2
47,-0.0965608866513688,2
48,-0.12740648246991204,11
49,-0.0832721497696422,1
50,-0.004893062634225065,2
51,-0.0393639234738275,1
52,-0.1372565271192241,4
53,-0.13253177728820614,11
54,0.051718714880440664,7
55,-0.13429340062803696,2
56,-0.10560150862266704,1
57,-0.14628862779453178,6
58,-0.0681830545078077,1
59,-0.033579004925715306,2
60,-0.14063150639055366,7
61,-0.09867092223255752,5
62,-0.11952047273023081,11
63,-0.13797816730685958,4
64,-0.00958611317145025,2
65,-0.11050553045653105,0
66,-0.14025768191941373,10
67,-0.1264635290587453,6
68,-0.10016561778478766,2
69,-0.08627430538019165,1
70,-0.1286143074669278,6
71,-0.11512688206694471,1
72,-0.13831130226566812,5
73,-0.10869420787159312,0
74,-0.14287708015150968,11
75,-0.14080782466117914,10
76,-0.14181493160980257,4
77,-0.02920108605321725,7
78,-0.089871801117206,7
79,-0.1270781206292,0
80,-0.14205993687286672,3
